GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Gradoop Data Integration,org.gradoop.dataintegration.transformation.impl.config,EdgeDirection,0,44,0,0,0,5,0,1,0,1
Gradoop Data Integration,org.gradoop.dataintegration.importer.impl.csv,MinimalCSVImporter,0,183,0,6,0,33,0,10,0,7
Gradoop Data Integration,org.gradoop.dataintegration.importer.impl.json.functions,MinimalJsonToVertex,16,112,4,10,3,29,4,6,0,3
Gradoop Data Integration,org.gradoop.dataintegration.transformation.functions,CreateVertexFromEdges,0,68,0,0,0,11,0,3,0,3
Gradoop Data Integration,org.gradoop.dataintegration.transformation.functions,CreateEdgesFromTriple,0,83,0,0,0,18,0,3,0,3
Gradoop Data Integration,org.gradoop.dataintegration.transformation.functions,AccumulatePropagatedValues,1,61,1,7,1,16,1,6,0,3
Gradoop Data Integration,org.gradoop.dataintegration.transformation.functions,CreateNeighborList.new Object() {...},2,17,0,0,0,1,0,1,0,1
Gradoop Data Integration,org.gradoop.dataintegration.transformation.functions,CreateNeighborList,0,87,0,9,0,19,0,8,0,3
Gradoop Data Integration,org.gradoop.dataintegration.transformation.functions,CreateCartesianNeighborhoodEdges,0,71,0,6,0,17,0,6,0,3
Gradoop Data Integration,org.gradoop.dataintegration.transformation.functions,EdgesFromLocalTransitiveClosure,1,119,3,7,1,26,3,5,0,3
Gradoop Data Integration,org.gradoop.dataintegration.transformation.functions,BuildTargetVertexIdPropertyValuePairs,0,9,0,0,0,3,0,2,0,2
Gradoop Data Integration,org.gradoop.dataintegration.transformation.functions,BuildIdPropertyValuePairs,0,47,0,4,0,11,0,4,0,2
Gradoop Data Integration,org.gradoop.dataintegration.importer.impl.csv.functions,PropertiesToVertex,0,14,0,0,0,5,0,2,0,2
Gradoop Data Integration,org.gradoop.dataintegration.importer.impl.csv.functions,CsvRowToProperties,1,72,1,9,1,16,1,6,0,2
Gradoop Data Integration,org.gradoop.dataintegration.transformation.impl.functions,CreateNewVertex,0,43,0,0,0,11,0,2,0,2
Gradoop Data Integration,org.gradoop.dataintegration.transformation.impl.functions,CreateNewVertexWithEqualityCondense,0,69,0,4,0,19,0,4,0,2
Gradoop Data Integration,org.gradoop.dataintegration.transformation.impl.functions,CreateNewEdges,0,70,0,10,0,14,0,7,0,2
Gradoop Data Integration,org.gradoop.dataintegration.transformation.impl.functions,ExtractPropertyWithOriginId,0,63,2,6,0,16,2,4,0,2
Gradoop Data Integration,org.gradoop.dataintegration.transformation.impl.functions,DivideBy,0,22,0,0,0,6,0,2,0,2
Gradoop Data Integration,org.gradoop.dataintegration.transformation,ConnectNeighbors,3,88,0,0,1,17,1,2,1,2
Gradoop Data Integration,org.gradoop.dataintegration.transformation,VertexToEdge,3,77,0,0,1,18,1,2,1,2
Gradoop Data Integration,org.gradoop.dataintegration.transformation,EdgeToVertex,3,97,0,0,1,20,1,2,1,2
Gradoop Data Integration,org.gradoop.dataintegration.transformation,PropagatePropertyToNeighbor,3,118,0,2,1,23,1,4,1,3
Gradoop Data Integration,org.gradoop.dataintegration.transformation.impl,ExtractPropertyFromVertex,0,148,0,6,0,37,0,7,0,4
Gradoop Data Integration,org.gradoop.dataintegration.transformation.impl,InvertEdges,0,37,0,2,0,11,0,3,0,2
Gradoop Data Integration,org.gradoop.dataintegration.transformation.impl,BasePropertyTransformationFunction,2,114,1,11,1,26,1,8,0,3
Gradoop Data Integration,org.gradoop.dataintegration.transformation.impl,Neighborhood.EdgeDirection,0,34,0,0,0,4,0,1,0,1
Gradoop Data Integration,org.gradoop.dataintegration.transformation.impl,PropertyTransformation,5,100,1,11,1,14,1,8,0,3
Gradoop Data Integration,org.gradoop.dataintegration.transformation.impl,Neighborhood,3,81,0,12,1,22,1,7,1,1
Gradoop Data Integration,org.gradoop.dataintegration.transformation.impl,NeighborhoodVertex,0,17,0,0,0,6,0,3,0,3
Gradoop Data Integration,org.gradoop.dataintegration.importer.impl.json,MinimalJSONImporter,0,42,0,0,0,10,0,3,0,3
