000000000000000000000009;[5bbdb23484411f32e69b33da];Forum;Graph Processing
000000000000000000000005;[5bbdb23484411f32e69b33da];Forum;Graph Databases
000000000000000000000006;[5bbdb23484411f32e69b33da];Person;20|Leipzig|f||Alice|
000000000000000000000007;[5bbdb23484411f32e69b33da];Person;30|Leipzig|m||Bob|
000000000000000000000000;[5bbdb23484411f32e69b33da];Person;40|Dresden|m||Dave|
000000000000000000000002;[5bbdb23484411f32e69b33da];Person;35|Berlin|m|127.0.0.1|Frank|
000000000000000000000008;[5bbdb23484411f32e69b33da];Person;35|Dresden|f||Eve|English
000000000000000000000004;[5bbdb23484411f32e69b33da];Person;30|Dresden|f||Carol|
000000000000000000000001;[5bbdb23484411f32e69b33da];Tag;Hadoop
00000000000000000000000a;[5bbdb23484411f32e69b33da];Tag;Graphs
000000000000000000000003;[5bbdb23484411f32e69b33da];Tag;Databases
